"","V1","V2"
"Start_Time","10:28:09.419","10:28:09.419"
"","0.488","92326"
"","0.99","92324"
"","1.488","92332"
"","1.992","92330"
"","2.49","92332"
"","2.993","92328"
"","3.491","92325"
"","3.994","92329"
"","4.492","92329"
"","4.995","92331"
"","5.493","92329"
"","5.997","92324"
"","6.495","92316"
"","6.997","92319"
"","7.495","92329"
"","7.999","92328"
"","8.497","92329"
"","9","92333"
"","9.498","92322"
"","10","92330"
"","10.499","92324"
"","11.001","92324"
"","11.5","92325"
"","12.003","92327"
"","12.502","92326"
"","13.003","92325"
"","13.502","92329"
"","14.005","92330"
"","14.504","92329"
"","15.006","92333"
"","15.505","92328"
"","16.007","92331"
"","16.506","92329"
"","17.008","92327"
"","17.507","92328"
"","18.01","92328"
"","18.509","92324"
"","19.01","92325"
"","19.509","92326"
"","20.012","92332"
"","20.511","92337"
"","21.013","92325"
"","21.512","92328"
"","22.014","92329"
"","22.513","92332"
"","23.015","92327"
"","23.514","92330"
"","24.017","92325"
"","24.516","92330"
"","25.017","92331"
"","25.516","92325"
"","26.019","92327"
"","26.518","92341"
"","27.02","92327"
"","27.519","92332"
"","28.021","92331"
"","28.52","92320"
"","29.022","92323"
"","29.521","92325"
"","30.024","92331"
"","30.523","92330"
"","31.024","92328"
"","31.523","92331"
"","32.026","92328"
"","32.525","92330"
"","33.027","92324"
"","33.526","92323"
"","34.028","92321"
"","34.527","92328"
"","35.029","92330"
"","35.528","92328"
"","36.031","92328"
"","36.529","92327"
"","37.031","92327"
"","37.529","92334"
"","38.033","92333"
"","38.531","92327"
"","39.034","92331"
"","39.532","92326"
"","40.035","92326"
"","40.533","92328"
"","41.036","92325"
"","41.534","92328"
"","42.038","92325"
"","42.536","92330"
"","43.038","92324"
"","43.536","92323"
"","44.04","92325"
"","44.538","92323"
"","45.04","92321"
"","45.539","92322"
"","46.041","92319"
"","46.54","92323"
"","47.042","92327"
"","47.541","92327"
"","48.044","92328"
"","48.543","92333"
"","49.044","92327"
"","49.543","92332"
"","50.046","92332"
"","50.545","92330"
"","51.047","92325"
"","51.546","92322"
"","52.048","92320"
"","52.547","92325"
"","53.049","92328"
"","53.548","92327"
"","54.051","92328"
"","54.55","92327"
"","55.051","92323"
"","55.55","92320"
"","56.053","92324"
"","56.552","92321"
"","57.054","92328"
"","57.553","92327"
"","58.055","92326"
"","58.554","92331"
"","59.056","92331"
"","59.555","92333"
"","60.058","92321"
"","60.557","92321"
"","61.058","92324"
"","61.557","92330"
"","62.06","92326"
"","62.559","92322"
"","63.061","92331"
"","63.56","92324"
"","64.062","92324"
"","64.561","92326"
"","65.063","92331"
"","65.562","92326"
"","66.065","92327"
"","66.564","92329"
"","67.065","92334"
"","67.564","92332"
"","68.067","92328"
"","68.566","92329"
"","69.068","92325"
"","69.567","92324"
"","70.068","92322"
"","70.567","92333"
"","71.07","92333"
"","71.569","92331"
"","72.07","92328"
"","72.569","92328"
"","73.072","92327"
"","73.57","92323"
"","74.073","92327"
"","74.571","92328"
"","75.074","92333"
"","75.572","92325"
"","76.075","92330"
"","76.573","92322"
"","77.077","92328"
"","77.575","92322"
"","78.077","92323"
"","78.575","92331"
"","79.078","92327"
"","79.58","92319"
"","80.079","92320"
"","80.582","92322"
"","81.08","92328"
"","81.58","92326"
"","82.079","92327"
"","82.583","92323"
"","83.081","92319"
"","83.582","92328"
"","84.08","92328"
"","84.583","92328"
"","85.081","92324"
"","85.583","92326"
"","86.081","92326"
"","86.583","92328"
"","87.081","92324"
"","87.584","92321"
"","88.081","92331"
"","88.592","92328"
"","89.082","92329"
"","89.592","92325"
"","90.082","92323"
"","90.592","92334"
"","91.084","92325"
"","91.593","92326"
"","92.085","92325"
"","92.592","92331"
"","93.086","92328"
"","93.593","92331"
"","94.087","92325"
"","94.592","92329"
"","95.089","92323"
"","95.593","92325"
"","96.089","92322"
"","96.592","92327"
"","97.091","92322"
"","97.593","92321"
"","98.092","92320"
"","98.593","92324"
"","99.093","92331"
"","99.596","92327"
"","100.094","92334"
"","100.596","92328"
"","101.096","92322"
"","101.596","92324"
"","102.096","92320"
"","102.598","92319"
"","103.098","92322"
"","103.6","92322"
"","104.099","92326"
"","104.603","92326"
"","105.1","92322"
"","105.61","92327"
"","106.101","92326"
"","106.61","92324"
"","107.103","92327"
"","107.61","92328"
"","108.103","92325"
"","108.61","92328"
"","109.105","92323"
"","109.61","92332"
"","110.106","92325"
"","110.61","92327"
"","111.107","92323"
"","111.61","92324"
"","112.108","92324"
"","112.61","92325"
"","113.11","92327"
"","113.61","92322"
"","114.11","92328"
"","114.612","92328"
"","115.112","92329"
"","115.614","92331"
"","116.113","92326"
"","116.615","92325"
"","117.114","92331"
"","117.616","92327"
"","118.115","92330"
"","118.618","92338"
"","119.117","92328"
"","119.62","92332"
"","120.117","92331"
"","120.62","92328"
"","121.119","92330"
"","121.621","92323"
"","122.12","92317"
"","122.622","92324"
"","123.121","92322"
"","123.623","92330"
"","124.122","92322"
"","124.625","92329"
"","125.123","92329"
"","125.625","92327"
"","126.123","92324"
"","126.627","92331"
"","127.125","92329"
"","127.628","92325"
"","128.126","92329"
"","128.629","92327"
"","129.127","92329"
"","129.63","92327"
"","130.128","92330"
"","130.632","92327"
"","131.13","92326"
"","131.632","92328"
"","132.13","92328"
"","132.634","92331"
"","133.132","92327"
"","133.634","92326"
"","134.133","92325"
"","134.635","92320"
"","135.134","92330"
"","135.636","92326"
"","136.135","92328"
"","136.638","92330"
"","137.137","92331"
"","137.638","92334"
"","138.137","92328"
"","138.64","92330"
"","139.139","92329"
"","139.641","92326"
"","140.14","92324"
"","140.642","92325"
"","141.141","92332"
"","141.643","92333"
"","142.142","92335"
"","142.645","92330"
"","143.144","92329"
"","143.645","92326"
"","144.144","92330"
"","144.647","92335"
"","145.146","92328"
"","145.648","92327"
"","146.147","92329"
"","146.649","92326"
"","147.148","92326"
"","147.65","92326"
"","148.149","92327"
"","148.652","92330"
"","149.151","92329"
"","149.652","92331"
"","150.151","92333"
"","150.654","92328"
"","151.153","92334"
"","151.655","92326"
"","152.154","92324"
"","152.656","92330"
"","153.155","92335"
"","153.657","92329"
"","154.156","92331"
"","154.659","92329"
"","155.158","92325"
"","155.659","92325"
"","156.158","92329"
"","156.661","92330"
"","157.16","92326"
"","157.662","92327"
"","158.161","92324"
"","158.663","92331"
"","159.162","92330"
"","159.664","92329"
"","160.162","92330"
"","160.666","92331"
"","161.164","92330"
"","161.666","92331"
"","162.164","92333"
"","162.668","92331"
"","163.166","92333"
"","163.669","92329"
"","164.167","92333"
"","164.67","92329"
"","165.168","92328"
"","165.671","92325"
"","166.169","92327"
"","166.673","92326"
"","167.171","92335"
"","167.673","92329"
"","168.171","92329"
"","168.674","92329"
"","169.173","92335"
"","169.675","92333"
"","170.174","92335"
"","170.676","92334"
"","171.175","92329"
"","171.677","92323"
"","172.176","92330"
"","172.679","92324"
"","173.178","92341"
"","173.679","92329"
"","174.178","92329"
"","174.681","92327"
"","175.18","92330"
"","175.682","92323"
"","176.181","92330"
"","176.683","92336"
"","177.182","92327"
"","177.684","92332"
"","178.183","92330"
"","178.686","92330"
"","179.185","92329"
"","179.686","92331"
"","180.185","92324"
"","180.688","92334"
"","181.187","92327"
"","181.689","92323"
"","182.188","92331"
"","182.69","92325"
"","183.189","92328"
"","183.691","92329"
"","184.19","92331"
"","184.693","92329"
"","185.192","92326"
"","185.693","92330"
"","186.192","92330"
"","186.695","92329"
"","187.194","92333"
"","187.696","92329"
"","188.195","92328"
"","188.697","92331"
"","189.196","92332"
"","189.698","92335"
"","190.197","92331"
"","190.7","92332"
"","191.199","92325"
"","191.7","92327"
"","192.199","92332"
"","192.702","92327"
"","193.201","92327"
"","193.703","92330"
"","194.202","92327"
"","194.704","92330"
"","195.203","92331"
"","195.705","92329"
"","196.203","92326"
"","196.707","92331"
"","197.205","92328"
"","197.707","92333"
"","198.205","92328"
"","198.709","92331"
"","199.207","92328"
"","199.71","92325"
"","200.208","92322"
"","200.711","92327"
"","201.209","92328"
"","201.712","92330"
"","202.21","92334"
"","202.714","92326"
"","203.212","92330"
"","203.714","92328"
"","204.212","92330"
"","204.715","92332"
"","205.214","92333"
"","205.716","92333"
"","206.215","92328"
"","206.717","92337"
"","207.216","92330"
"","207.718","92331"
"","208.217","92326"
"","208.72","92329"
"","209.219","92319"
"","209.72","92323"
"","210.219","92327"
"","210.722","92328"
"","211.221","92325"
"","211.723","92332"
"","212.222","92332"
"","212.724","92328"
"","213.223","92329"
"","213.725","92323"
"","214.224","92328"
"","214.727","92333"
"","215.226","92329"
"","215.727","92328"
"","216.226","92332"
"","216.729","92334"
"","217.228","92327"
"","217.73","92323"
"","218.229","92325"
"","218.731","92322"
"","219.23","92329"
"","219.732","92330"
"","220.231","92327"
"","220.734","92331"
"","221.233","92336"
"","221.734","92325"
"","222.233","92332"
"","222.736","92343"
"","223.235","92326"
"","223.737","92333"
"","224.236","92335"
"","224.738","92333"
"","225.237","92335"
"","225.739","92333"
"","226.238","92341"
"","226.741","92338"
"","227.24","92332"
"","227.741","92336"
"","228.24","92323"
"","228.743","92327"
"","229.242","92331"
"","229.744","92332"
"","230.243","92331"
"","230.745","92326"
"","231.244","92331"
"","231.746","92320"
"","232.244","92325"
"","232.748","92330"
"","233.246","92337"
"","233.748","92328"
"","234.246","92325"
"","234.75","92326"
"","235.248","92330"
"","235.751","92333"
"","236.249","92332"
"","236.752","92328"
"","237.25","92325"
"","237.753","92323"
"","238.251","92325"
"","238.755","92333"
"","239.253","92333"
"","239.755","92330"
"","240.253","92328"
"","240.756","92325"
"","241.255","92325"
"","241.757","92329"
"","242.256","92329"
"","242.758","92330"
"","243.257","92329"
"","243.759","92330"
"","244.258","92330"
"","244.761","92331"
"","245.26","92331"
"","245.761","92331"
"","246.26","92325"
"","246.763","92320"
"","247.262","92322"
"","247.764","92329"
"","248.263","92324"
"","248.765","92322"
"","249.264","92330"
"","249.766","92336"
"","250.265","92330"
"","250.768","92333"
"","251.267","92330"
"","251.768","92334"
"","252.267","92336"
"","252.77","92327"
"","253.269","92338"
"","253.771","92328"
"","254.27","92331"
"","254.772","92330"
"","255.271","92331"
"","255.773","92332"
"","256.272","92333"
"","256.775","92333"
"","257.274","92337"
"","257.775","92333"
"","258.274","92330"
"","258.777","92329"
"","259.276","92327"
"","259.778","92328"
"","260.277","92333"
"","260.779","92335"
"","261.278","92333"
"","261.78","92327"
"","262.279","92334"
"","262.782","92335"
"","263.281","92333"
"","263.782","92333"
"","264.281","92330"
"","264.784","92329"
"","265.283","92325"
"","265.785","92334"
